 	1	2	3	4	5	6	7	8	9	10	11	12
A	49734966.00	9535796.00	27532388.00	7982414.00	67898732.00	8293752.00	55527313.00	79338123.00	12172218.00	101716556.00	40259940.00	79766451.00
B	109136537.00	12638302.00	10498057.00	9787950.00	49483372.00	9967655.00	54557856.00	140972173.00	17355626.00	100528154.00	42272971.00	99708152.00
C	126855239.00	102793262.00	97210571.00	62873589.00	72777753.00	38445012.00	38328912.00	63914742.00	45322378.00	36311515.00	156343329.00	93430730.00
D	126449769.00	118009409.00	89464376.00	103282526.00	62091963.00	54990266.00	76342018.00	70877350.00	33229778.00	48896559.00	76858143.00	165381937.00
E	98475786.00	89544126.00	69225816.00	41963058.00	42324786.00	23250535.00	29975186.00	34806562.00	45736056.00	40929074.00	125545122.00	127221434.00
F	83343712.00	82259991.00	58477358.00	41994922.00	39590905.00	16796894.00	39716139.00	39537865.00	47135400.00	47099297.00	137203358.00	193601770.00
G	142240249.00	133744816.00	125610251.00	162324354.00	101686283.00	68851198.00	109416834.00	82569985.00	104476417.00	86107250.00	90152097.00	331146741.00
H	158137665.00	142185229.00	133061475.00	143640113.00	96328245.00	77028761.00	108279121.00	98471130.00	118423613.00	77352415.00	107756344.00	108747226.00
I	197809103.00	164181756.00	191172535.00	157144538.00	186291808.00	54210568.00	267576586.00	163674429.00	211556867.00	151273622.00	38665253.00	31403068.00
J	181966361.00	182163652.00	126979656.00	111598217.00	118934086.00	38943100.00	200901024.00	131590782.00	231560572.00	135245482.00	108850822.00	110703711.00
K	171849124.00	184586861.00	166314756.00	132871269.00	120974479.00	128157667.00	184142807.00	106084102.00	160843321.00	100527672.00	83134354.00	48152831.00
L	145667049.00	156214835.00	153726726.00	85897528.00	102884129.00	126172469.00	154850912.00	114356253.00	121402191.00	75134331.00	77876276.00	55875108.00
M	121801245.00	165736381.00	144929748.00	112339176.00	146870463.00	187199239.00	301332823.00	135305716.00	151701679.00	78186391.00	81722932.00	48885759.00
N	120988328.00	129862933.00	107622533.00	71453559.00	63187363.00	67561070.00	118286269.00	117061949.00	132464264.00	72777443.00	86465387.00	64943044.00
O	120145023.00	182985496.00	106076156.00	87079584.00	122541898.00	157640703.00	131965217.00	103510746.00	115460055.00	79704997.00	162719878.00	93074729.00
P	118943400.00	106177655.00	112699798.00	105898665.00	87089393.00	123931066.00	118959174.00	124556443.00	101352519.00	70547944.00	153646986.00	87822665.00
Q	84831771.00	101232558.00	90863316.00	100871277.00	63645862.00	114826700.00	74125447.00	63071715.00	135895720.00	63645630.00	94820332.00	93243873.00
R	137714604.00	141833797.00	121432532.00	154796212.00	99140724.00	147578894.00	94658585.00	102337339.00	108466783.00	67404235.00	148890297.00	90961717.00
S	423303259.00	443955875.00	350622412.00	444255342.00	152317344.00	304258490.00	594493365.00	273459192.00	198303026.00	246887010.00	76575141.00	58211102.00
T	242471366.00	246528578.00	207248001.00	259982252.00	159973557.00	122475329.00	316108949.00	162696087.00	123553646.00	135017243.00	130694660.00	110632582.00
U	217003346.00	221280533.00	230382609.00	269631674.00	187988173.00	206112007.00	182944160.00	180691066.00	182635010.00	108468822.00	124763962.00	82754416.00
V	159155169.00	143795058.00	153269039.00	172768297.00	144242866.00	122448015.00	117112544.00	127940222.00	114752814.00	81539695.00	95194923.00	100025663.00
W	159149646.00	152527953.00	142011097.00	135645433.00	206137275.00	65235959.00	101764509.00	109582453.00	141916698.00	98205709.00	115406484.00	91020541.00
X	149046673.00	115101389.00	95573333.00	133449816.00	96923594.00	32350051.00	65042192.00	114448468.00	118425653.00	135576507.00	117584800.00	120233227.00
