 	1	2	3	4	5	6	7	8	9	10
A	2286765.68	2222964.8	2238380.02	2847280.88	2164804.4	2158966.76	2218131.9	2051841.92	2286365.93	2114916.46
B	2580400.42	2746145.5	2839570.91	2450131.71	2746774.79	2504053.79	2700332.81	2632843.88	2446072.89	2159637.84
C	16747917.15	19648212.24	20132452.05	11905900.21	19320803.1	12679433.69	26198456.02	17836219.72	25281079.68	3483164.17
D	21170720.76	22141192.61	20822205.73	16935114.8	13341045.67	29922430.52	28159815.37	14497221.21	26452902.75	4877646.39
E	12847541.71	21721341.62	14859439.04	8028480.38	14380814.38	12309745.34	26613841.2	13143951.89	25496668.9	4007803.79
F	13615733.36	17812483.87	11480104.93	7470610.3	14275513.77	9440312.32	15136473.71	19670244.72	19695286.94	4621532.48
G	17625233.0	18807059.56	20894042.91	14477864.77	30674748.65	16494247.36	13915581.71	15331067.15	13577394.04	3686578.82
H	16630812.03	21273927.58	21987362.1	14239653.37	29558448.77	31528745.11	13440109.31	10159175.17	17943717.0	5436528.04
I	18527148.08	26853699.93	92582160.09	79912278.63	24686503.0	29367991.34	10206507.16	9589915.03	10696923.62	2997520.06
J	23753667.61	21597365.04	53417900.38	25523533.6	41122780.46	26125671.06	11801474.92	8788891.0	16568659.42	4082866.83
K	21925992.25	19809343.6	25050266.9	19158750.28	32501397.89	17243727.47	18189536.58	15058017.13	17306611.21	3548680.17
L	24957150.87	21312622.8	16972389.78	9311653.91	14359325.44	15754650.67	23230493.06	29153934.82	16670654.65	4594916.81
M	21616577.45	17724730.86	14755822.34	9350268.57	20899961.63	12591931.86	18545706.8	14242966.88	13182977.63	4021785.99
N	18571861.4	17912665.72	11409504.31	8140626.15	10613791.14	10847273.26	25198344.98	29548170.31	14830246.6	4668111.92
O	14736055.66	17584606.43	11660903.7	9043880.28	19436940.14	22247879.96	18803652.3	20669843.37	17061072.21	4939712.63
P	14410314.4	14753502.43	10360160.19	8145087.42	19297377.73	13710952.9	20399087.95	36612363.93	21507671.57	5858998.25
Q	13094595.94	13436545.54	10139770.03	8333187.36	12128767.62	13688214.42	22669378.97	24936777.18	25114716.86	4323046.84
R	16999529.03	15828565.44	11717541.3	9859377.34	15009445.9	18659345.37	21556027.52	16767695.67	22751011.72	4922004.02
S	32190292.36	62217551.9	31952368.18	32287217.24	36915810.99	32580864.7	18792141.98	11095950.73	17301940.34	3420754.62
T	42994496.75	72487070.2	42465046.05	38769442.18	43214361.42	35398830.14	30388427.85	14917884.21	16364103.42	4291383.8
U	27406886.66	27892590.86	24605994.66	24873123.14	26877197.15	37685250.16	24394323.02	19898028.42	21153165.44	3558873.14
V	27253626.68	28199825.2	21597681.7	27405515.54	21809885.02	20352192.06	15948193.79	13146813.49	18910591.44	4005027.74
W	29942268.74	30767878.78	35711622.04	24265626.45	20122309.47	20845185.03	12366566.23	18794906.32	17277641.65	4297176.41
X	32371563.82	32109864.45	33267422.66	17760052.97	29976275.43	5645892.07	13939031.42	14608692.1	25068511.88	6114447.68
