 	1	2	3	4	5	6	7	8	9	10
A	16466228.34	16121111.57	12111436.24	8324721.59	6368667.65	13838731.54	6404088.35	9005344.24	12788914.86	19449140.29
B	23954289.64	26629250.57	24702645.97	23594384.7	13567688.28	40309686.81	19450984.5	19031560.15	19042688.21	14084267.89
C	43057050.13	51811677.01	62244357.2	72830533.17	38116778.22	27024226.79	23772821.86	28078127.52	39375931.56	46353264.31
D	35294724.75	43981120.1	70509945.64	72078390.39	14425195.78	26834356.46	17784734.98	25068264.98	50530096.98	29157152.04
E	37113399.85	42477865.57	41457355.12	42097406.57	26401480.61	26178595.99	15602906.78	35090486.38	32934368.8	36305212.16
F	46005850.93	43895454.01	41366825.14	51671127.22	34606715.2	12638016.06	22132970.41	34376996.03	35917088.47	88127433.04
G	23992806.55	26354477.02	22801837.06	25405468.21	28102713.7	12476453.59	13463760.65	15346804.82	19754882.09	27338346.69
H	21607247.18	21092662.45	20096847.14	18822185.32	17711949.11	23631327.02	10960584.69	14839509.77	19684321.95	23661990.47
I	20472918.87	20019235.82	17344547.4	17023452.59	11917187.72	11151210.3	7298033.63	12420658.22	14252384.66	12765783.1
J	22366513.0	19552864.16	13489920.37	11804768.5	10825518.52	8414051.13	7412351.56	9692074.53	13393266.53	35064367.39
K	24907059.15	22543720.89	20079834.05	18442189.23	42330196.03	16275023.32	17058254.54	22189774.27	19861812.93	12759519.99
L	31390355.82	27384341.86	20730931.3	26169843.75	17862143.28	21461749.26	30892262.92	47350554.65	28201355.27	15083942.85
M	24498181.13	26421043.8	24891294.3	19481475.51	43397943.96	20775551.68	25523760.33	25127538.33	21841481.29	21091292.31
N	24933906.88	21461965.68	19874344.91	21413898.35	21950505.64	28057491.67	22074108.49	33870476.41	25418576.95	35138300.43
O	19956165.76	21963428.01	18908434.65	14684950.23	17425115.62	26741837.1	12832991.68	20568422.37	19496185.3	23385965.01
P	20018804.45	20982588.14	16405645.03	13346079.01	19399622.27	18730014.94	6368485.6	17113551.4	16943072.47	4961011.58
Q	17481091.43	18911286.89	15361450.34	13999906.56	14011559.13	29113676.93	27528376.99	16606157.98	16973354.18	4577885.54
R	19436053.32	20395932.65	15877404.68	15311398.56	26674803.77	32393519.15	33071843.88	17525046.69	18626437.09	4908783.97
S	31670640.95	33410110.9	28003609.79	33835860.53	22183988.43	25364864.88	20382951.13	21214452.81	18404586.41	4536255.6
T	64719221.42	63958627.64	43213412.36	49621692.19	35341388.85	24862295.72	38807430.92	40032693.62	20231170.15	7130729.22
U	30514636.12	30444015.47	24880105.26	27529759.16	23337513.29	23277588.82	31284871.46	28700385.31	25745821.9	5812837.77
V	25159724.98	24973523.18	19013141.47	19323080.36	14379431.77	11341645.22	26853487.55	16745220.04	18734360.9	5049835.91
W	25603238.26	24246003.96	20424248.75	21203180.25	13619710.17	10675242.75	15727602.01	21365891.26	20238870.94	4380995.31
X	22431875.01	24542994.15	26500463.06	16618881.87	13360603.77	4616602.05	9330856.04	20794935.5	28298248.73	5197319.29
