 	1	2	3	4	5	6	7	8	9	10	11	12
A	136323206.81	22576075.75	114051833.57	10135788.79	4233087.10	59251514.56	8107247.69	171164522.99	12553116.90	31561089.08	3989062.28	35402671.88
B	4843639.37	14526428.30	6536270.49	16483024.31	3951009.42	3298041.43	8311336.77	9544693.27	4596777.59	17587644.98	4245095.91	4151256.15
C	40285407.87	57300043.79	72178088.31	181227159.69	63712913.16	30563763.00	44951850.95	44036914.82	45776753.02	62898583.30	15357370.89	41641162.59
D	43553072.88	67922601.39	49910954.96	37703187.12	31026516.35	27179641.24	38234436.72	52264266.50	68503525.14	70891616.51	58700862.41	34569705.76
E	93985553.61	93604784.42	54541824.26	33579610.03	45435444.30	16967283.47	45534593.01	97872334.89	65528403.69	72650784.60	58665478.00	24240365.22
F	105092282.87	94334329.61	45230057.22	17380149.10	48732943.76	14406582.55	44273101.54	92042444.26	70172125.91	88399392.78	48131996.91	17520445.20
G	50063649.13	50933723.59	60394681.45	41059717.89	64868405.80	25895053.87	68424426.28	61954540.59	49442723.39	59201489.95	50682916.46	10140230.76
H	36427263.74	42585708.93	42344080.22	24496464.94	60490374.46	20267306.71	44949964.87	59909954.29	47656335.08	61838052.22	28339796.19	6794303.84
I	19496673.60	13662006.41	25999202.93	5366058.25	26317436.30	4515448.88	9751096.21	12614331.69	7488945.19	51003079.12	19096176.39	8696833.84
J	22759557.23	18158417.55	31280258.14	7622587.88	61558987.14	7777498.10	14719824.50	17374658.64	31453383.09	60654985.12	78340927.98	51538080.93
K	45668986.31	38668247.73	40965476.99	37384465.92	48004912.68	28209806.86	48487639.73	55450243.90	49219772.85	61469907.29	19261105.25	84989131.11
L	32413427.49	30159103.56	25145277.27	20206705.69	32186248.25	35918535.89	27260777.87	50637026.74	41237947.58	57367675.05	40372834.74	75984885.17
M	23029093.60	29625599.30	35412479.94	71930032.93	53775322.69	37729613.81	27047307.80	48809211.90	41204697.54	54068690.52	44373296.84	72326758.13
N	26924067.46	26209492.20	28924182.68	60879778.78	28257216.15	33895533.08	22905548.49	27949151.80	30237946.06	52686724.39	48701645.24	48910472.58
O	24204078.85	34379694.40	28014991.07	32232709.66	39497780.08	51731765.96	35433783.25	37444950.45	38749243.74	49391166.03	48323735.44	42893135.70
P	22449594.27	24051435.08	14587237.20	48497080.96	28809072.76	46734652.36	26187311.57	33367680.52	30552533.34	45120436.19	40203327.55	42437770.59
Q	16168998.05	21334416.92	13051102.77	26610183.00	14226384.63	53821438.75	28132805.98	26576887.40	32444053.17	31876236.73	44100022.37	49929554.71
R	27195050.45	23819504.80	20250264.59	19609449.46	28236192.07	40552193.53	39756495.61	30830136.29	28162955.68	36800221.58	31520120.95	68700265.13
S	28907732.14	37377604.63	44471125.29	40911529.33	36231411.20	22849105.40	33858575.59	40026296.38	35053924.63	56098647.74	16196410.25	24835577.50
T	99217718.87	76748722.33	91195101.30	63440075.13	49178473.13	51669949.14	60451599.51	85065049.37	40012935.41	97664422.41	62822781.23	60661709.87
U	58886056.96	50230222.65	15180465.45	49173727.93	11687794.57	13173422.36	36295162.12	52199786.41	48166193.92	43851031.20	18308810.79	49842594.85
V	52758062.45	49941055.00	27765958.54	33501296.86	29401362.22	13504747.54	34396872.41	43727538.88	41255851.09	53616479.44	69191768.10	42940716.24
W	57391046.78	67443156.86	39945071.51	16680152.75	25260975.31	32853572.52	55740193.25	71849672.80	60253048.49	60882795.56	41923480.65	48992651.62
X	40156613.28	81261029.47	73664398.95	20704647.44	63100626.89	7851184.88	40278644.32	56047411.71	52157919.25	73125530.11	53410492.26	47388364.70
